张	jo
场	cho
把	ba
巴	ba
爸	ba
吧	ba
八	ba
办	be
包	bao
班	be
板	be
被	bei
悲	bei
帮	bo
并	bin
兵	bin
冰	bin
波	bo
请	cin
青	cin
的	d
得	d
德	d
打	da
答	da
达	da
带	dai
戴	dai
当	do
党	do
都	do
定	din
顶	din
多	do
东	don
懂	don
动	don
读	dw
独	dw
福	f
复	f
发	fa
法	fa
飞	fei
放	fo
方	fo
房	fo
非	fei
夫	f
父	fu
富	fu
付	fu
妇	fu
府	fu
负	fu
副	fu
格	ga
革	ga
街	gai
过	go
果	go
公	gon
工	gon
功	gon
共	gon
宫	gon
供	gon
古	gu
故	gu
顾	gu
姑	gu
孤	gu
怪	guai
广	gwo
光	gwo
合	ha
下	ha
孩	hai
鞋	hai
红	hon
以	i
意	i
已	i
易	i
议	i
忆	i
医	i
衣	i
义	i
依	i
异	i
伊	i
疑	i
英	in
影	in
与	iu
余	iu
预	iu
于	iu
语	iu
遇	iu
雨	iu
鱼	iu
卡	ka
里	lei
理	lei
利	lei
离	lei
李	lei
路	lo
令	lin
领	lin
另	lin
灵	lin
鲁	lo
罗	lo
落	lo
洛	lo
露	leu
录	lw
力	ly
历	ly
料	lyao
木	m
妈	ma
玛	ma
马	ma
吗	ma
买	mai
卖	mai
美	mei
名	min
明	min
命	min
	
忙	meo
拿	na
那	na
哪	na
纳	na
奶	nai
农	non
怕	pa
排	pai
派	pai
牌	pai
平	pin
破	po
清	cin
杀	sa
什	sh
是	sh
时	si
使	si
师	si
士	si
始	si
视	si
市	si
示	si
史	si
诗	si
试	si
所	so
他	ta
她	ta
它	ta
太	tai
态	tai
听	tin
停	tin
庭	tin
托	ta
同	ton
通	ton
统	ton
痛	ton
童	ton
错	tso
王	vo
往	vo
也	ya
夜	ye
野	ye
应	in
用	yon
育	iu
则	za
子	zi
自	zi
作	zw
坐	zo
族	zw
阿	a
啊	a
爱	ngai
安	nge
案	nge
按	nge
暗	nge
奥	ngao
白	bye
百	bai
败	bai
半	be
般	be
伴	be
报	bao
保	bao
抱	bao
宝	bao
北	by
备	bei
背	bei
贝	bei
本	ben
比	bi
必	by
笔	by
毕	by
便	bye
边	bye
变	bye
遍	bye
编	bye
表	byao
标	biao
别	bie
病	bin
伯	bo
博	bo
不	b
部	bu
布	bu
步	bu
才	tsai
采	tsai
彩	tsai
财	tsai
菜	tsai
参	tse
餐	tse
藏	tseo
草	tsao
曾	tsen
层	tsen
查	tsa
察	tsa
差	tsa
产	tse
长	cheo
常	cheo
唱	cheo
朝	chao
超	chao
车	chae
沉	chen
陈	chen
成	chen
称	chen
城	chen
程	chen
承	chen
吃	ch
持	chi
充	chon
冲	chon
出	chw
处	chu
除	chu
初	cho
传	chwe
穿	chwe
船	chwe
创	chwo
床	chwo
窗	chwo
春	chon
次	tsi
此	tsi
词	tsi
从	con
存	con
村	con
大	da
代	dai
待	dai
袋	dai
但	de
单	de
担	de
弹	de
到	dao
道	dao
倒	dao
导	dao
岛	dao
等	den
登	den
灯	den
地	di
第	di
底	di
帝	di
弟	di
低	di
点	die
电	die
店	die
典	die
调	diao
掉	diao
斗	deu
度	du
断	dwe
段	dwe
短	dwe
端	dwe
对	dwi
队	dwi
顿	don
恶	nga
恩	ngen
而	ar
儿	ar
尔	ar
耳	ar
反	fe
饭	fe
范	fe
犯	fe
翻	fe
凡	fe
费	fei
分	fen
份	fen
风	fen
封	fen
佛	fo
否	feu
该	gai
改	gai
盖	gai
感	nge
干	nge
赶	nge
敢	nge
刚	geo
高	gao
告	gao
个	g
各	gae
歌	gae
哥	gae
给	gei
根	gen
跟	gen
更	gen
够	geu
狗	geu
骨	gw
关	gwe
管	gwe
观	gwe
官	gwe
馆	gwe
贵	gwi
规	gwi
归	gwi
国	gwa
还	hwe
海	hai
害	hai
汉	he
喊	he
含	he
好	hao
号	hao
毫	hao
和	hae
何	hae
河	hae
喝	ha
黑	hei
很	hen
后	heu
候	heu
乎	hu
呼	hu
护	hu
胡	hu
忽	hw
话	hwa
花	hwa
化	hwa
画	hwa
华	hwa
諣	
划	hwa
怀	hwai
坏	hwai
欢	hwe
环	hwe
换	hwe
黄	hwo
皇	hwo
会	hwi
回	hwi
蜖	
挥	hwi
婚	hon
活	hwa
或	hwa
窢	
火	ho
获	ho
伙	ho
己	i
几	i
机	ji
记	ji
即	ji
及	ji
极	ji
计	ji
纪	ji
基	ji
际	ji
激	ji
集	ji
急	ji
击	ji
级	ji
继	ji
吉	ji
既	ji
技	ji
迹	ji
济	ji
家	jia
加	jia
价	jia
假	jia
架	jia
间	jie
见	jie
建	jie
简	jie
渐	jie
坚	jie
健	jie
将	jio
讲	jio
奖	jio
降	jio
江	jio
教	jiao
叫	jiao
交	jiao
脚	jiao
角	jiao
较	jiao
界	jie
结	jie
接	jie
解	jie
节	jie
姐	jie
杰	jie
介	jie
进	jin
金	jin
今	jin
近	jin
尽	jin
紧	jin
仅	jin
禁	jin
经	jin
精	jin
惊	jin
静	jin
竟	jin
京	jin
睛	cin
境	jin
警	jin
景	jin
就	jyeu
久	jyeu
酒	jyeu
究	jyeu
救	jyeu
旧	jyeu
九	jyeu
举	jyu
句	jyu
居	jyu
具	jyu
据	jyu
剧	jyu
局	jyu
巨	jyu
觉	jywe
决	jywe
绝	jywe
军	jyon
开	kai
看	ke
康	keo
考	kao
靠	kao
可	kae
克	ka
科	kae
客	ka
刻	ka
课	kae
肯	ken
空	kon
恐	kon
口	keu
苦	ku
哭	ku
快	kwai
块	kwai
况	kweo
困	kon
拉	la
来	lai
莱	lai
兰	le
浪	leo
老	lao
劳	lao
了	l
乐	la
勒	la
类	lei
泪	lei
雷	lei
稜	lin
冷	len
立	ly
丽	lei
礼	lei
例	lei
连	lye
脸	lye
联	lye
练	lye
恋	lye
两	lia
量	lieo
亮	lieo
良	lieo
列	lie
烈	lie
林	lin
临	lin
流	lieu
留	lieu
六	lieu
刘	lieu
楼	leu
旅	liu
律	liu
乱	lwe
论	lon
伦	lon
满	me
慢	me
毛	mao
么	m
没	mei
每	mei
妹	mei
们	m
门	men
梦	men
蒙	men
米	min
密	my
秘	my
迷	my
面	mie
免	mie
妙	miao
民	min
默	ma
莫	mo
模	mo
某	mo
母	mu
目	m
姆	
娜	na
难	ne
男	ne
南	ne
脑	nao
呢	n
内	nei
能	nen
你	ni
尼	ni
年	nie
念	nie
娘	nieo
鸟	niao
您	nin
牛	nieu
弄	non
女	niu
诺	non
欧	ngeu
拍	pie
判	pe
旁	peo
跑	pao
朋	pen
皮	pi
批	pi
片	pie
票	piao
品	pin
普	pu
起	cyi
期	cyi
其	cyi
气	cyi
奇	cyi
妻	cyi
器	cyi
七	cyi
汽	cyi
棋	cyi
前	cie
钱	cie
千	cie
强	cio
枪	cio
切	cye
且	cye
亲	cin
琴	cin
情	cin
轻	cin
求	cieu
球	cieu
秋	cieu
去	ciu
紶	ciu
取	ciu
趣	ciu
区	ciu
曲	ciu
全	ciwe
权	ciwe
却	ciwe
确	ciwe
缺	ciwe
群	cion
然	re
让	reo
热	ra
人	ren
认	ren
任	ren
忍	ren
仍	ren
日	r
容	ron
肉	reu
如	ru
入	rw
若	rwa
萨	sa
赛	sai
塞	sai
三	se
散	se
色	sa
森	sen
沙	sa
山	se
善	she
上	sheo
伤	sheo
商	sheo
少	shao
烧	shao
社	shao
设	shao
谁	shwi
身	shen
神	shen
深	shen
甚	shen
生	shen
声	shen
圣	shen
胜	shen
升	shen
盛	shen
事	si
世	si
十	sh
实	sh
失	sh
识	sh
式	sh
石	sh
室	sh
食	sh
适	sh
势	si
释	sh
手	sheu
受	sheu
收	sheu
首	sheu
守	sheu
授	sheu
书	shu
数	sho
术	shu
树	shu
属	shu
束	shu
熟	shu
双	shwo
水	shwi
睡	shwi
顺	shon
说	shwa
斯	si
死	si
四	si
思	si
司	si
似	si
丝	si
送	son
松	son
诉	su
苏	su
速	su
素	su
算	swe
算	swe
岁	swi
随	swi
虽	swi
索	so
台	tai
谈	te
探	te
坦	te
堂	teo
套	tao
特	ta
体	ti
提	ti
题	ti
天	tie
条	tiao
跳	tiao
铁	tie
头	teu
投	teu
突	tw
图	tu
土	tu
团	twe
推	twi
退	twi
腿	twi
脱	twa
外	wai
万	ve
完	ve
晚	ve
玩	ve
望	vo
忘	vo
亡	vo
为	vi
位	vi
未	vi
维	vi
味	vi
微	vi
围	vi
卫	vi
委	vi
问	ven
文	ven
温	ven
闻	ven
我	ngae
无	ma
物	va
五	vu
务	va
屋	vu
舞	vu
午	vu
武	vu
误	vu
西	syi
喜	syi
希	syi
系	syi
息	syi
细	syi
习	syi
吸	syi
戏	syi
洗	syi
席	syi
夏	sya
现	sye
先	sye
显	sye
线	sye
险	sye
鲜	sye
想	syo
相	syo
向	syo
像	syo
象	syo
响	syo
香	syo
乡	syo
项	syo
小	siao
笑	siao
消	siao
校	siao
些	sie
写	sie
谢	sie
心	sin
信	sin
新	sin
行	sin
性	sin
星	sin
形	sin
兴	sin
幸	sin
型	sin
醒	sin
雄	sion
修	sieu
休	sieu
许	siu
需	siu
须	siu
续	siu
选	siue
宣	siue
学	siue
血	siue
雪	siue
寻	sin
亚	ya
牙	ya
压	ya
呀	ya
眼	yae
言	yae
演	yae
验	yae
严	yae
研	yae
烟	yae
样	yo
养	yo
阳	yo
洋	yo
要	yao
药	ye
摇	yao
业	ye
叶	ye
一	y
艺	i
遗	i
因	in
音	in
引	in
印	in
银	in
营	in
永	yon
拥	yon
有	yo
又	yo
由	yo
友	yo
游	yo
右	yo
油	yo
优	yo
员	ywe
原	ywe
远	ywe
元	ywe
院	ywe
愿	ywe
园	ywe
月	ywe
约	ywe
越	ywe
运	yon
云	yon
杂	za
在	zai
再	zai
臓	
早	zao
造	zao
责	za
怎	za
增	zen
战	ze
站	ze
展	zhe
丈	zheo
章	zheo
找	zhao
照	zhao
招	zhao
这	ja
着	j
者	jae
真	jen
珍	jen
阵	jen
正	jen
整	jen
争	jen
证	jen
征	jen
之	j
只	j
知	ji
直	zh
至	zhi
指	zi
制	zhi
志	zhi
治	zhi
致	zhi
纸	zhi
支	zhi
止	zhi
质	zhi
值	zhi
职	zhi
智	zhi
置	zhi
中	jon
种	jon
重	jon
终	jon
钟	jon
众	jon
周	jeu
州	jeu
洲	jeu
主	ju
住	ju
注	ju
助	ju
著	ju
藸	ju
转	jwe
专	jwe
d	jweo
状	jwoe
追	jwi
准	jwon
桌	jwa
字	zi
资	zi
总	zon
走	zeu
足	zw
组	zu
祖	zu
最	zwi
嘴	zwi
罪	zwi
做	za
座	zo
左	zo
